AYUNTAMIENTOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/06/2021 18:52 (UTC-5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTAS_ESPERADAS,ACTAS_REGISTRADAS,ACTAS_FUERA_CATALOGO,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_INCONSISTENCIAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,TOTAL_VOTOS_C_CS,TOTAL_VOTOS_S_CS,PORCENTAJE_PARTICIPACION_CIUDADANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'040103B0100,'040103B010002,'04,CAMPECHE,'001,CAMPECHE,'0103,1,B,0,1,2,,,,,,,,1,18,46,8,21,40,15,26,26,31,24,46,9,,,,603,,,,,,,,,,,
'040103C0100,'040103C010002,'04,CAMPECHE,'001,CAMPECHE,'0103,1,C,0,1,2,,,,,,,,9,10,5,1,33,5,31,32,42,22,38,4,20,,,,603,,,,,,,,,,,
'040104B0100,'040104B010002,'04,CAMPECHE,'001,CAMPECHE,'0104,1,B,0,1,2,,,,,,,,46,45,3,47,31,23,14,6,14,39,39,3,9,,,,399,,,,,,,,,,,
'040104C0100,'040104C010002,'04,CAMPECHE,'001,CAMPECHE,'0104,1,C,0,1,2,,,,,,,,17,2,36,24,44,33,17,13,30,3,29,9,10,,,,398,,,,,,,,,,,
'040105B0100,'040105B010002,'04,CAMPECHE,'001,CAMPECHE,'0105,1,B,0,1,2,,,,,,,,4,12,7,27,18,10,38,16,35,19,13,35,11,,,,714,,,,,,,,,,,
'040105C0100,'040105C010002,'04,CAMPECHE,'001,CAMPECHE,'0105,1,C,0,1,2,,,,,,,,14,21,43,45,18,45,9,10,34,11,4,49,19,,,,714,,,,,,,,,,,
'040105C0200,'040105C020002,'04,CAMPECHE,'001,CAMPECHE,'0105,2,C,0,1,2,,,,,,,,41,26,10,15,27,34,30,28,40,16,40,22,48,,,,714,,,,,,,,,,,
'040105C0300,'040105C030002,'04,CAMPECHE,'001,CAMPECHE,'0105,3,C,0,1,2,,,,,,,,25,42,7,42,19,46,41,15,34,6,12,19,4,,,,714,,,,,,,,,,,
'040105C0400,'040105C040002,'04,CAMPECHE,'001,CAMPECHE,'0105,4,C,0,1,2,,,,,,,,41,6,31,26,23,22,14,19,12,1,22,23,43,,,,714,,,,,,,,,,,
'040105C0500,'040105C050002,'04,CAMPECHE,'001,CAMPECHE,'0105,5,C,0,1,2,,,,,,,,25,24,36,4,18,30,12,17,12,7,10,2,11,,,,714,,,,,,,,,,,
'040105C0600,'040105C060002,'04,CAMPECHE,'001,CAMPECHE,'0105,6,C,0,1,2,,,,,,,,29,6,1,24,10,38,48,29,43,32,3,13,27,,,,714,,,,,,,,,,,
'040105C0700,'040105C070002,'04,CAMPECHE,'001,CAMPECHE,'0105,7,C,0,1,2,,,,,,,,25,48,7,33,32,31,19,39,28,4,48,8,41,,,,714,,,,,,,,,,,
'040105C0800,'040105C080002,'04,CAMPECHE,'001,CAMPECHE,'0105,8,C,0,1,2,,,,,,,,49,38,43,35,9,11,12,21,45,7,21,45,2,,,,714,,,,,,,,,,,
'040105C0900,'040105C090002,'04,CAMPECHE,'001,CAMPECHE,'0105,9,C,0,1,2,,,,,,,,29,3,5,38,46,21,43,1,23,20,5,4,1,,,,713,,,,,,,,,,,
'040106B0100,'040106B010002,'04,CAMPECHE,'001,CAMPECHE,'0106,1,B,0,1,2,,,,,,,,39,29,2,23,8,21,21,15,16,40,32,35,23,,,,660,,,,,,,,,,,
'040106C0100,'040106C010002,'04,CAMPECHE,'001,CAMPECHE,'0106,1,C,0,1,2,,,,,,,,4,1,33,36,29,8,14,47,10,30,21,46,40,,,,660,,,,,,,,,,,
'040107B0100,'040107B010002,'04,CAMPECHE,'001,CAMPECHE,'0107,1,B,0,1,2,,,,,,,,10,47,19,21,19,21,27,44,20,8,33,6,5,,,,666,,,,,,,,,,,
'040107C0100,'040107C010002,'04,CAMPECHE,'001,CAMPECHE,'0107,1,C,0,1,2,,,,,,,,39,15,43,41,18,17,4,7,10,32,5,48,21,,,,666,,,,,,,,,,,
'040108B0100,'040108B010002,'04,CAMPECHE,'001,CAMPECHE,'0108,1,B,0,1,2,,,,,,,,6,46,40,49,7,15,36,12,11,4,26,28,26,,,,650,,,,,,,,,,,
'040108C0100,'040108C010002,'04,CAMPECHE,'001,CAMPECHE,'0108,1,C,0,1,2,,,,,,,,18,15,4,43,6,45,28,27,38,22,40,34,46,,,,650,,,,,,,,,,,
'040108C0200,'040108C020002,'04,CAMPECHE,'001,CAMPECHE,'0108,2,C,0,1,2,,,,,,,,41,45,46,14,12,38,10,31,10,46,34,35,43,,,,650,,,,,,,,,,,
'040108C0300,'040108C030002,'04,CAMPECHE,'001,CAMPECHE,'0108,3,C,0,1,2,,,,,,,,35,25,1,30,30,8,35,33,8,14,23,9,40,,,,649,,,,,,,,,,,
'040108C0400,'040108C040002,'04,CAMPECHE,'001,CAMPECHE,'0108,4,C,0,1,2,,,,,,,,34,11,9,41,3,49,2,12,41,8,3,35,15,,,,649,,,,,,,,,,,
'040109B0100,'040109B010002,'04,CAMPECHE,'001,CAMPECHE,'0109,1,B,0,1,2,,,,,,,,12,40,6,13,6,2,2,40,22,46,14,9,27,,,,629,,,,,,,,,,,
'040109C0100,'040109C010002,'04,CAMPECHE,'001,CAMPECHE,'0109,1,C,0,1,2,,,,,,,,10,4,1,33,16,48,27,27,45,16,44,45,46,,,,629,,,,,,,,,,,
'040109C0200,'040109C020002,'04,CAMPECHE,'001,CAMPECHE,'0109,2,C,0,1,2,,,,,,,,28,46,21,22,2,34,6,10,13,35,44,11,4,,,,629,,,,,,,,,,,
'040109C0300,'040109C030002,'04,CAMPECHE,'001,CAMPECHE,'0109,3,C,0,1,2,,,,,,,,37,8,49,9,32,20,16,33,34,15,29,19,4,,,,629,,,,,,,,,,,
'040110B0100,'040110B010002,'04,CAMPECHE,'001,CAMPECHE,'0110,1,B,0,1,2,,,,,,,,43,13,29,34,31,21,16,3,26,26,37,42,11,,,,684,,,,,,,,,,,
'040110C0100,'040110C010002,'04,CAMPECHE,'001,CAMPECHE,'0110,1,C,0,1,2,,,,,,,,32,35,44,11,24,31,48,7,26,16,46,41,19,,,,683,,,,,,,,,,,
'040111B0100,'040111B010002,'04,CAMPECHE,'001,CAMPECHE,'0111,1,B,0,1,2,,,,,,,,14,10,6,16,44,15,24,47,45,10,8,16,17,,,,666,,,,,,,,,,,
'040111C0100,'040111C010002,'04,CAMPECHE,'001,CAMPECHE,'0111,1,C,0,1,2,,,,,,,,7,7,35,44,42,7,24,31,42,31,42,4,43,,,,665,,,,,,,,,,,
'040111C0200,'040111C020002,'04,CAMPECHE,'001,CAMPECHE,'0111,2,C,0,1,2,,,,,,,,49,27,15,7,37,35,15,8,46,48,7,24,28,,,,665,,,,,,,,,,,
'040112B0100,'040112B010002,'04,CAMPECHE,'001,CAMPECHE,'0112,1,B,0,2,2,,,,,,,,7,42,48,13,14,17,32,30,36,37,10,30,7,,,,644,,,,,,,,,,,
'040112C0100,'040112C010002,'04,CAMPECHE,'001,CAMPECHE,'0112,1,C,0,2,2,,,,,,,,13,24,3,41,26,21,35,22,3,46,32,38,48,,,,644,,,,,,,,,,,
'040112C0200,'040112C020002,'04,CAMPECHE,'001,CAMPECHE,'0112,2,C,0,2,2,,,,,,,,44,16,27,4,47,4,39,8,9,33,14,33,34,,,,644,,,,,,,,,,,
'040112C0300,'040112C030002,'04,CAMPECHE,'001,CAMPECHE,'0112,3,C,0,2,2,,,,,,,,20,30,28,12,30,9,23,5,21,36,13,15,29,,,,644,,,,,,,,,,,
'040112C0400,'040112C040002,'04,CAMPECHE,'001,CAMPECHE,'0112,4,C,0,2,2,,,,,,,,23,4,9,14,49,41,1,43,40,15,28,37,13,,,,643,,,,,,,,,,,
'040112C0500,'040112C050002,'04,CAMPECHE,'001,CAMPECHE,'0112,5,C,0,2,2,,,,,,,,36,31,9,46,37,23,46,22,44,8,27,20,39,,,,643,,,,,,,,,,,
'040112C0600,'040112C060002,'04,CAMPECHE,'001,CAMPECHE,'0112,6,C,0,2,2,,,,,,,,28,30,36,38,43,7,38,33,47,27,42,7,33,,,,643,,,,,,,,,,,
'040112S0100,'040112S010002,'04,CAMPECHE,'001,CAMPECHE,'0112,1,S,0,2,2,,,,,,,,11,21,34,43,17,31,29,5,48,26,16,47,2,,,,0,,,,,,,,,,,
'040113B0100,'040113B010002,'04,CAMPECHE,'001,CAMPECHE,'0113,1,B,0,1,2,,,,,,,,20,38,48,4,28,15,32,48,13,5,6,39,41,,,,422,,,,,,,,,,,
'040113C0100,'040113C010002,'04,CAMPECHE,'001,CAMPECHE,'0113,1,C,0,1,2,,,,,,,,18,15,15,11,28,28,34,41,2,40,31,2,27,,,,422,,,,,,,,,,,
'040114B0100,'040114B010002,'04,CAMPECHE,'001,CAMPECHE,'0114,1,B,0,1,2,,,,,,,,19,26,39,18,41,45,49,15,27,26,22,44,13,,,,620,,,,,,,,,,,
'040114C0100,'040114C010002,'04,CAMPECHE,'001,CAMPECHE,'0114,1,C,0,1,2,,,,,,,,16,14,40,44,22,46,36,39,27,8,36,45,14,,,,619,,,,,,,,,,,
'040115B0100,'040115B010002,'04,CAMPECHE,'001,CAMPECHE,'0115,1,B,0,1,2,,,,,,,,21,5,33,3,16,15,13,42,28,14,27,39,13,,,,457,,,,,,,,,,,
'040115C0100,'040115C010002,'04,CAMPECHE,'001,CAMPECHE,'0115,1,C,0,1,2,,,,,,,,17,6,27,2,26,35,10,15,30,26,13,9,37,,,,457,,,,,,,,,,,
'040116B0100,'040116B010002,'04,CAMPECHE,'001,CAMPECHE,'0116,1,B,0,2,2,,,,,,,,42,16,28,5,11,38,19,18,21,19,8,18,44,,,,569,,,,,,,,,,,
'040116C0100,'040116C010002,'04,CAMPECHE,'001,CAMPECHE,'0116,1,C,0,2,2,,,,,,,,40,43,1,22,21,21,23,17,4,19,4,10,43,,,,569,,,,,,,,,,,
'040117B0100,'040117B010002,'04,CAMPECHE,'001,CAMPECHE,'0117,1,B,0,1,2,,,,,,,,43,45,14,20,38,22,46,12,39,19,48,35,20,,,,559,,,,,,,,,,,
'040117C0100,'040117C010002,'04,CAMPECHE,'001,CAMPECHE,'0117,1,C,0,1,2,,,,,,,,8,4,25,28,19,12,32,36,43,12,8,17,19,,,,559,,,,,,,,,,,
'040117C0200,'040117C020002,'04,CAMPECHE,'001,CAMPECHE,'0117,2,C,0,1,2,,,,,,,,22,28,37,12,25,36,44,26,36,17,33,11,8,,,,558,,,,,,,,,,,
'040118B0100,'040118B010002,'04,CAMPECHE,'001,CAMPECHE,'0118,1,B,0,2,2,,,,,,,,39,48,8,22,24,13,12,25,24,28,28,23,12,,,,486,,,,,,,,,,,
'040118C0100,'040118C010002,'04,CAMPECHE,'001,CAMPECHE,'0118,1,C,0,2,2,,,,,,,,35,42,2,37,17,23,12,6,26,44,9,6,6,,,,485,,,,,,,,,,,
'040119B0100,'040119B010002,'04,CAMPECHE,'001,CAMPECHE,'0119,1,B,0,2,2,,,,,,,,32,4,20,20,48,8,40,38,14,2,38,22,27,,,,413,,,,,,,,,,,
'040120B0100,'040120B010002,'04,CAMPECHE,'001,CAMPECHE,'0120,1,B,0,2,2,,,,,,,,41,42,22,38,12,44,29,39,15,29,26,26,25,,,,429,,,,,,,,,,,
'040120C0100,'040120C010002,'04,CAMPECHE,'001,CAMPECHE,'0120,1,C,0,2,2,,,,,,,,18,27,18,1,16,27,44,28,28,37,23,1,12,,,,429,,,,,,,,,,,
'040121B0100,'040121B010002,'04,CAMPECHE,'001,CAMPECHE,'0121,1,B,0,2,2,,,,,,,,4,36,35,16,30,28,14,39,8,24,38,37,37,,,,465,,,,,,,,,,,
'040121C0100,'040121C010002,'04,CAMPECHE,'001,CAMPECHE,'0121,1,C,0,2,2,,,,,,,,38,34,18,29,5,19,39,7,1,2,12,43,3,,,,465,,,,,,,,,,,
'040122B0100,'040122B010002,'04,CAMPECHE,'001,CAMPECHE,'0122,1,B,0,2,2,,,,,,,,41,33,40,45,16,41,16,45,4,20,2,32,41,,,,597,,,,,,,,,,,
'040122C0100,'040122C010002,'04,CAMPECHE,'001,CAMPECHE,'0122,1,C,0,2,2,,,,,,,,41,43,36,41,17,16,46,34,8,28,41,49,26,,,,596,,,,,,,,,,,
'040122S0100,'040122S010002,'04,CAMPECHE,'001,CAMPECHE,'0122,1,S,0,2,2,,,,,,,,17,5,12,44,28,22,23,16,42,39,41,11,39,,,,0,,,,,,,,,,,
'040123B0100,'040123B010002,'04,CAMPECHE,'001,CAMPECHE,'0123,1,B,0,2,2,,,,,,,,29,5,10,25,38,38,30,15,28,24,10,25,39,,,,395,,,,,,,,,,,
'040123C0100,'040123C010002,'04,CAMPECHE,'001,CAMPECHE,'0123,1,C,0,2,2,,,,,,,,47,30,13,44,33,27,45,13,43,9,21,8,49,,,,395,,,,,,,,,,,
'040124B0100,'040124B010002,'04,CAMPECHE,'001,CAMPECHE,'0124,1,B,0,2,2,,,,,,,,15,44,16,42,33,28,3,20,40,10,46,46,41,,,,733,,,,,,,,,,,
'040124C0100,'040124C010002,'04,CAMPECHE,'001,CAMPECHE,'0124,1,C,0,2,2,,,,,,,,8,47,14,10,29,44,49,33,20,27,22,19,15,,,,732,,,,,,,,,,,
'040124C0200,'040124C020002,'04,CAMPECHE,'001,CAMPECHE,'0124,2,C,0,2,2,,,,,,,,15,47,42,24,43,42,42,34,21,16,25,28,5,,,,732,,,,,,,,,,,
'040124C0300,'040124C030002,'04,CAMPECHE,'001,CAMPECHE,'0124,3,C,0,2,2,,,,,,,,10,37,40,20,30,5,13,49,48,42,17,4,49,,,,732,,,,,,,,,,,
'040124C0400,'040124C040002,'04,CAMPECHE,'001,CAMPECHE,'0124,4,C,0,2,2,,,,,,,,7,24,3,43,40,43,3,34,34,41,36,16,18,,,,732,,,,,,,,,,,
'040124E0100,'040124E010002,'04,CAMPECHE,'001,CAMPECHE,'0124,1,E,0,2,2,,,,,,,,47,3,37,10,43,10,2,16,33,32,27,2,45,,,,525,,,,,,,,,,,
'040124E0101,'040124E010102,'04,CAMPECHE,'001,CAMPECHE,'0124,1,E,1,2,2,,,,,,,,14,47,43,17,25,42,2,37,31,4,21,47,46,,,,525,,,,,,,,,,,
'040125B0100,'040125B010002,'04,CAMPECHE,'001,CAMPECHE,'0125,1,B,0,2,2,,,,,,,,49,40,2,10,32,17,25,1,11,10,47,35,42,,,,549,,,,,,,,,,,
'040125C0100,'040125C010002,'04,CAMPECHE,'001,CAMPECHE,'0125,1,C,0,2,2,,,,,,,,1,31,6,2,39,49,7,44,42,33,28,18,48,,,,548,,,,,,,,,,,
'040125C0200,'040125C020002,'04,CAMPECHE,'001,CAMPECHE,'0125,2,C,0,2,2,,,,,,,,37,17,18,12,33,10,10,19,32,18,10,47,3,,,,548,,,,,,,,,,,
'040126B0100,'040126B010002,'04,CAMPECHE,'001,CAMPECHE,'0126,1,B,0,1,2,,,,,,,,44,43,3,37,10,47,3,27,39,5,25,30,21,,,,699,,,,,,,,,,,
'040126C0100,'040126C010002,'04,CAMPECHE,'001,CAMPECHE,'0126,1,C,0,1,2,,,,,,,,23,18,1,33,18,48,33,20,41,41,41,16,22,,,,698,,,,,,,,,,,
'040126C0200,'040126C020002,'04,CAMPECHE,'001,CAMPECHE,'0126,2,C,0,1,2,,,,,,,,9,14,22,16,23,19,28,18,19,45,16,4,33,,,,698,,,,,,,,,,,
'040127B0100,'040127B010002,'04,CAMPECHE,'001,CAMPECHE,'0127,1,B,0,2,2,,,,,,,,20,31,25,27,5,34,45,17,17,29,4,29,35,,,,589,,,,,,,,,,,
'040127C0100,'040127C010002,'04,CAMPECHE,'001,CAMPECHE,'0127,1,C,0,2,2,,,,,,,,27,14,33,30,20,49,24,10,19,27,6,17,37,,,,588,,,,,,,,,,,
'040128B0100,'040128B010002,'04,CAMPECHE,'001,CAMPECHE,'0128,1,B,0,2,2,,,,,,,,22,11,5,1,18,35,31,42,6,2,4,41,36,,,,233,,,,,,,,,,,
'040129B0100,'040129B010002,'04,CAMPECHE,'001,CAMPECHE,'0129,1,B,0,2,2,,,,,,,,23,38,26,9,43,17,29,21,18,40,36,13,34,,,,525,,,,,,,,,,,
'040129C0100,'040129C010002,'04,CAMPECHE,'001,CAMPECHE,'0129,1,C,0,2,2,,,,,,,,23,29,47,5,33,19,14,2,4,9,20,6,33,,,,524,,,,,,,,,,,
'040129C0200,'040129C020002,'04,CAMPECHE,'001,CAMPECHE,'0129,2,C,0,2,2,,,,,,,,36,29,20,22,35,23,37,34,14,39,49,32,38,,,,524,,,,,,,,,,,
'040130B0100,'040130B010002,'04,CAMPECHE,'001,CAMPECHE,'0130,1,B,0,2,2,,,,,,,,34,41,21,48,5,38,40,45,32,48,10,40,21,,,,492,,,,,,,,,,,
'040131B0100,'040131B010002,'04,CAMPECHE,'001,CAMPECHE,'0131,1,B,0,2,2,,,,,,,,48,14,20,4,26,30,12,25,47,28,21,15,37,,,,277,,,,,,,,,,,
'040132B0100,'040132B010002,'04,CAMPECHE,'001,CAMPECHE,'0132,1,B,0,2,2,,,,,,,,38,42,41,30,34,48,48,41,38,20,48,4,20,,,,205,,,,,,,,,,,
'040133B0100,'040133B010002,'04,CAMPECHE,'001,CAMPECHE,'0133,1,B,0,2,2,,,,,,,,21,26,38,5,18,22,47,18,15,10,24,20,20,,,,538,,,,,,,,,,,
'040134B0100,'040134B010002,'04,CAMPECHE,'001,CAMPECHE,'0134,1,B,0,2,2,,,,,,,,30,39,46,21,17,14,31,48,32,48,39,38,33,,,,324,,,,,,,,,,,
'040134E0100,'040134E010002,'04,CAMPECHE,'001,CAMPECHE,'0134,1,E,0,2,2,,,,,,,,27,20,49,18,29,41,18,31,29,6,8,41,1,,,,151,,,,,,,,,,,
'040135B0100,'040135B010002,'04,CAMPECHE,'001,CAMPECHE,'0135,1,B,0,2,2,,,,,,,,35,41,25,14,1,36,16,18,23,28,43,3,10,,,,448,,,,,,,,,,,
'040135C0100,'040135C010002,'04,CAMPECHE,'001,CAMPECHE,'0135,1,C,0,2,2,,,,,,,,9,44,30,7,49,32,7,13,32,9,12,15,22,,,,447,,,,,,,,,,,
'040136B0100,'040136B010002,'04,CAMPECHE,'001,CAMPECHE,'0136,1,B,0,2,2,,,,,,,,28,36,47,37,4,13,37,32,37,28,22,44,5,,,,207,,,,,,,,,,,
'040137B0100,'040137B010002,'04,CAMPECHE,'001,CAMPECHE,'0137,1,B,0,2,2,,,,,,,,40,43,46,44,28,2,45,35,5,35,18,41,9,,,,268,,,,,,,,,,,
'040138B0100,'040138B010002,'04,CAMPECHE,'001,CAMPECHE,'0138,1,B,0,2,2,,,,,,,,46,1,32,46,42,3,28,3,5,8,22,42,31,,,,563,,,,,,,,,,,
'040139B0100,'040139B010002,'04,CAMPECHE,'001,CAMPECHE,'0139,1,B,0,2,2,,,,,,,,47,44,45,18,36,13,35,26,15,21,7,40,41,,,,731,,,,,,,,,,,
'040139C0100,'040139C010002,'04,CAMPECHE,'001,CAMPECHE,'0139,1,C,0,2,2,,,,,,,,49,39,46,18,37,6,28,23,38,47,8,31,24,,,,731,,,,,,,,,,,
'040139C0200,'040139C020002,'04,CAMPECHE,'001,CAMPECHE,'0139,2,C,0,2,2,,,,,,,,18,37,40,23,16,7,47,29,41,3,39,49,32,,,,731,,,,,,,,,,,
'040139C0300,'040139C030002,'04,CAMPECHE,'001,CAMPECHE,'0139,3,C,0,2,2,,,,,,,,36,36,40,4,27,33,16,48,11,22,14,32,21,,,,731,,,,,,,,,,,
'040140B0100,'040140B010002,'04,CAMPECHE,'001,CAMPECHE,'0140,1,B,0,2,2,,,,,,,,18,35,29,42,39,2,11,7,23,9,48,21,39,,,,458,,,,,,,,,,,
'040140C0100,'040140C010002,'04,CAMPECHE,'001,CAMPECHE,'0140,1,C,0,2,2,,,,,,,,3,45,36,6,4,22,43,31,8,6,13,33,16,,,,458,,,,,,,,,,,
'040141B0100,'040141B010002,'04,CAMPECHE,'001,CAMPECHE,'0141,1,B,0,1,2,,,,,,,,18,11,28,20,40,34,35,21,44,49,30,22,42,,,,456,,,,,,,,,,,
'040141C0100,'040141C010002,'04,CAMPECHE,'001,CAMPECHE,'0141,1,C,0,1,2,,,,,,,,48,23,39,30,46,23,3,39,18,31,1,16,34,,,,456,,,,,,,,,,,
'040142B0100,'040142B010002,'04,CAMPECHE,'001,CAMPECHE,'0142,1,B,0,2,2,,,,,,,,39,48,32,44,27,39,6,37,24,38,48,40,17,,,,687,,,,,,,,,,,
'040142C0100,'040142C010002,'04,CAMPECHE,'001,CAMPECHE,'0142,1,C,0,2,2,,,,,,,,11,16,16,7,23,3,8,42,30,7,18,18,4,,,,686,,,,,,,,,,,
'040142C0200,'040142C020002,'04,CAMPECHE,'001,CAMPECHE,'0142,2,C,0,2,2,,,,,,,,42,33,23,14,18,39,16,23,35,9,32,8,1,,,,686,,,,,,,,,,,
'040142C0300,'040142C030002,'04,CAMPECHE,'001,CAMPECHE,'0142,3,C,0,2,2,,,,,,,,33,15,13,18,10,38,25,35,20,33,26,40,47,,,,686,,,,,,,,,,,
'040143B0100,'040143B010002,'04,CAMPECHE,'001,CAMPECHE,'0143,1,B,0,2,2,,,,,,,,49,14,30,8,36,17,28,12,9,29,3,22,15,,,,382,,,,,,,,,,,
'040144B0100,'040144B010002,'04,CAMPECHE,'001,CAMPECHE,'0144,1,B,0,2,2,,,,,,,,21,22,38,26,25,25,9,24,36,34,21,1,28,,,,250,,,,,,,,,,,
'040145B0100,'040145B010002,'04,CAMPECHE,'001,CAMPECHE,'0145,1,B,0,2,2,,,,,,,,13,48,42,20,41,7,10,3,9,34,48,8,24,,,,423,,,,,,,,,,,
'040145C0100,'040145C010002,'04,CAMPECHE,'001,CAMPECHE,'0145,1,C,0,2,2,,,,,,,,6,43,36,2,34,20,33,41,17,12,37,29,34,,,,422,,,,,,,,,,,
'040146B0100,'040146B010002,'04,CAMPECHE,'001,CAMPECHE,'0146,1,B,0,2,2,,,,,,,,23,23,32,21,42,45,35,26,17,14,13,38,30,,,,491,,,,,,,,,,,
'040147B0100,'040147B010002,'04,CAMPECHE,'002,CALKINI,'0147,1,B,0,2,2,,,,,,,,18,41,29,16,5,27,38,34,44,33,24,41,33,,,,601,,,,,,,,,,,
'040147C0100,'040147C010002,'04,CAMPECHE,'002,CALKINI,'0147,1,C,0,2,2,,,,,,,,33,30,9,41,4,23,2,18,3,35,13,37,37,,,,600,,,,,,,,,,,
'040147C0200,'040147C020002,'04,CAMPECHE,'002,CALKINI,'0147,2,C,0,2,2,,,,,,,,27,22,2,25,25,9,49,33,11,26,8,29,18,,,,600,,,,,,,,,,,
'040148B0100,'040148B010002,'04,CAMPECHE,'002,CALKINI,'0148,1,B,0,1,2,,,,,,,,32,27,5,39,7,4,7,47,34,27,17,42,25,,,,565,,,,,,,,,,,
'040148C0100,'040148C010002,'04,CAMPECHE,'002,CALKINI,'0148,1,C,0,1,2,,,,,,,,7,17,25,29,24,17,8,48,2,32,15,41,42,,,,565,,,,,,,,,,,
'040149B0100,'040149B010002,'04,CAMPECHE,'002,CALKINI,'0149,1,B,0,1,2,,,,,,,,8,31,12,44,43,42,18,29,25,16,12,25,4,,,,579,,,,,,,,,,,
'040149C0100,'040149C010002,'04,CAMPECHE,'002,CALKINI,'0149,1,C,0,1,2,,,,,,,,4,48,19,13,45,14,13,35,31,29,14,32,18,,,,578,,,,,,,,,,,
'040150B0100,'040150B010002,'04,CAMPECHE,'002,CALKINI,'0150,1,B,0,1,2,,,,,,,,48,49,25,14,15,9,35,2,11,34,42,30,27,,,,397,,,,,,,,,,,
'040150C0100,'040150C010002,'04,CAMPECHE,'002,CALKINI,'0150,1,C,0,1,2,,,,,,,,9,45,28,47,22,32,30,25,44,32,14,5,32,,,,397,,,,,,,,,,,
'040151B0100,'040151B010002,'04,CAMPECHE,'002,CALKINI,'0151,1,B,0,1,2,,,,,,,,22,23,23,34,37,23,11,33,40,33,27,6,19,,,,416,,,,,,,,,,,
'040151C0100,'040151C010002,'04,CAMPECHE,'002,CALKINI,'0151,1,C,0,1,2,,,,,,,,4,13,12,24,32,17,1,33,10,25,10,26,15,,,,415,,,,,,,,,,,
'040152B0100,'040152B010002,'04,CAMPECHE,'002,CALKINI,'0152,1,B,0,2,2,,,,,,,,6,17,46,26,2,12,12,34,43,12,2,34,27,,,,533,,,,,,,,,,,
'040152C0100,'040152C010002,'04,CAMPECHE,'002,CALKINI,'0152,1,C,0,2,2,,,,,,,,27,48,46,5,24,40,40,28,37,17,48,38,26,,,,533,,,,,,,,,,,
'040153B0100,'040153B010002,'04,CAMPECHE,'002,CALKINI,'0153,1,B,0,2,2,,,,,,,,45,37,20,30,24,7,22,27,31,27,26,6,30,,,,531,,,,,,,,,,,
'040153C0100,'040153C010002,'04,CAMPECHE,'002,CALKINI,'0153,1,C,0,2,2,,,,,,,,37,25,38,44,41,31,49,30,47,33,29,41,26,,,,530,,,,,,,,,,,
'040154B0100,'040154B010002,'04,CAMPECHE,'002,CALKINI,'0154,1,B,0,1,2,,,,,,,,6,47,2,29,23,4,32,10,28,42,41,28,24,,,,622,,,,,,,,,,,
'040154C0100,'040154C010002,'04,CAMPECHE,'002,CALKINI,'0154,1,C,0,1,2,,,,,,,,5,47,37,18,44,15,46,6,38,16,24,47,25,,,,622,,,,,,,,,,,
'040154C0200,'040154C020002,'04,CAMPECHE,'002,CALKINI,'0154,2,C,0,1,2,,,,,,,,29,14,34,2,14,47,43,6,4,22,23,39,45,,,,622,,,,,,,,,,,
'040155B0100,'040155B010002,'04,CAMPECHE,'002,CALKINI,'0155,1,B,0,1,2,,,,,,,,40,36,42,37,38,49,6,15,33,22,41,13,29,,,,714,,,,,,,,,,,
'040155C0100,'040155C010002,'04,CAMPECHE,'002,CALKINI,'0155,1,C,0,1,2,,,,,,,,14,4,46,36,15,10,16,44,35,47,29,48,2,,,,714,,,,,,,,,,,
'040156B0100,'040156B010002,'04,CAMPECHE,'002,CALKINI,'0156,1,B,0,1,2,,,,,,,,37,20,29,1,2,26,32,12,24,42,45,25,43,,,,477,,,,,,,,,,,
'040156C0100,'040156C010002,'04,CAMPECHE,'002,CALKINI,'0156,1,C,0,1,2,,,,,,,,26,6,24,42,13,13,4,45,15,11,46,18,18,,,,476,,,,,,,,,,,
'040157B0100,'040157B010002,'04,CAMPECHE,'002,CALKINI,'0157,1,B,0,2,2,,,,,,,,38,16,49,29,39,38,12,22,2,26,22,35,11,,,,380,,,,,,,,,,,
'040157C0100,'040157C010002,'04,CAMPECHE,'002,CALKINI,'0157,1,C,0,2,2,,,,,,,,25,30,31,43,9,23,49,43,27,17,47,40,3,,,,380,,,,,,,,,,,
'040158B0100,'040158B010002,'04,CAMPECHE,'002,CALKINI,'0158,1,B,0,2,2,,,,,,,,44,36,48,7,8,26,32,33,20,28,10,36,16,,,,441,,,,,,,,,,,
'040158C0100,'040158C010002,'04,CAMPECHE,'002,CALKINI,'0158,1,C,0,2,2,,,,,,,,43,16,40,35,41,44,6,44,43,41,2,22,11,,,,441,,,,,,,,,,,
'040159B0100,'040159B010002,'04,CAMPECHE,'002,CALKINI,'0159,1,B,0,1,2,,,,,,,,2,11,27,20,10,7,2,49,22,27,37,45,21,,,,412,,,,,,,,,,,
