DIPUTACIONES LOCALES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/06/2021 18:52 (UTC-5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTAS_ESPERADAS,ACTAS_REGISTRADAS,ACTAS_FUERA_CATALOGO,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_INCONSISTENCIAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,TOTAL_VOTOS_C_CS,TOTAL_VOTOS_S_CS,PORCENTAJE_PARTICIPACION_CIUDADANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'040092B0100,'040092B010003,'04,CAMPECHE,'004,004. SAN FRANCISCO DE CAMPECHE,'0092,1,B,0,1,3,,,,,1,2,1,16,37,9,32,39,19,48,34,22,10,40,9,,,,612,,,,,,,,,,,
'040092C0100,'040092C010003,'04,CAMPECHE,'004,004. SAN FRANCISCO DE CAMPECHE,'0092,1,C,0,1,3,,,,,1,2,1,27,8,45,11,31,18,13,47,11,41,21,3,,,,611,,,,,,,,,,,
'040092S0100,'040092S010003,'04,CAMPECHE,'004,004. SAN FRANCISCO DE CAMPECHE,'0092,1,S,0,1,3,,,,,1,2,1,47,47,45,45,28,9,3,9,9,37,30,35,,,,0,,,,,,,,,,,
'040093B0100,'040093B010003,'04,CAMPECHE,'004,004. SAN FRANCISCO DE CAMPECHE,'0093,1,B,0,1,3,,,,,1,2,1,25,36,42,2,47,44,5,40,2,29,16,45,,,,569,,,,,,,,,,,
'040093C0100,'040093C010003,'04,CAMPECHE,'004,004. SAN FRANCISCO DE CAMPECHE,'0093,1,C,0,1,3,,,,,1,2,1,44,19,45,46,13,21,46,13,43,33,46,41,,,,568,,,,,,,,,,,
'040094B0100,'040094B010003,'04,CAMPECHE,'004,004. SAN FRANCISCO DE CAMPECHE,'0094,1,B,0,1,3,,,,,1,2,1,46,42,12,12,11,22,4,27,32,28,32,27,,,,670,,,,,,,,,,,
'040094C0100,'040094C010003,'04,CAMPECHE,'004,004. SAN FRANCISCO DE CAMPECHE,'0094,1,C,0,1,3,,,,,1,2,1,4,36,2,40,14,39,16,39,32,21,4,28,,,,670,,,,,,,,,,,
'040095B0100,'040095B010003,'04,CAMPECHE,'004,004. SAN FRANCISCO DE CAMPECHE,'0095,1,B,0,1,3,,,,,1,2,1,26,20,4,5,27,29,11,47,14,19,21,15,,,,528,,,,,,,,,,,
'040095C0100,'040095C010003,'04,CAMPECHE,'004,004. SAN FRANCISCO DE CAMPECHE,'0095,1,C,0,1,3,,,,,1,2,1,1,35,20,47,3,6,10,15,13,47,21,20,,,,527,,,,,,,,,,,
'040095C0200,'040095C020003,'04,CAMPECHE,'004,004. SAN FRANCISCO DE CAMPECHE,'0095,2,C,0,1,3,,,,,1,2,1,9,49,47,17,14,16,8,31,5,4,42,9,,,,527,,,,,,,,,,,
'040096B0100,'040096B010003,'04,CAMPECHE,'004,004. SAN FRANCISCO DE CAMPECHE,'0096,1,B,0,1,3,,,,,1,2,1,34,17,18,49,3,33,22,22,25,4,47,47,,,,580,,,,,,,,,,,
'040096C0100,'040096C010003,'04,CAMPECHE,'004,004. SAN FRANCISCO DE CAMPECHE,'0096,1,C,0,1,3,,,,,1,2,1,28,29,24,34,31,39,22,30,30,26,38,1,,,,580,,,,,,,,,,,
'040097B0100,'040097B010003,'04,CAMPECHE,'004,004. SAN FRANCISCO DE CAMPECHE,'0097,1,B,0,1,3,,,,,1,2,1,37,29,40,26,41,11,33,33,42,21,4,18,,,,582,,,,,,,,,,,
'040097C0100,'040097C010003,'04,CAMPECHE,'004,004. SAN FRANCISCO DE CAMPECHE,'0097,1,C,0,1,3,,,,,1,2,1,26,30,12,42,20,23,39,34,13,42,47,19,,,,582,,,,,,,,,,,
'040098B0100,'040098B010003,'04,CAMPECHE,'004,004. SAN FRANCISCO DE CAMPECHE,'0098,1,B,0,1,3,,,,,1,2,1,49,23,5,22,16,32,1,1,12,45,7,42,,,,426,,,,,,,,,,,
'040098C0100,'040098C010003,'04,CAMPECHE,'004,004. SAN FRANCISCO DE CAMPECHE,'0098,1,C,0,1,3,,,,,1,2,1,14,7,23,5,38,18,24,7,31,37,18,14,,,,426,,,,,,,,,,,
'040099B0100,'040099B010003,'04,CAMPECHE,'005,005. SAN FRANCISCO DE CAMPECHE,'0099,1,B,0,1,3,,,,,1,2,1,8,47,35,16,47,8,47,6,9,17,49,7,,,,635,,,,,,,,,,,
'040099C0100,'040099C010003,'04,CAMPECHE,'005,005. SAN FRANCISCO DE CAMPECHE,'0099,1,C,0,1,3,,,,,1,2,1,45,41,39,12,27,10,46,8,13,4,16,18,,,,634,,,,,,,,,,,
'040100B0100,'040100B010003,'04,CAMPECHE,'005,005. SAN FRANCISCO DE CAMPECHE,'0100,1,B,0,1,3,,,,,1,2,1,20,47,17,45,35,6,9,30,40,39,35,22,,,,587,,,,,,,,,,,
'040100C0100,'040100C010003,'04,CAMPECHE,'005,005. SAN FRANCISCO DE CAMPECHE,'0100,1,C,0,1,3,,,,,1,2,1,14,45,20,45,32,18,36,4,29,10,5,18,,,,587,,,,,,,,,,,
'040100C0200,'040100C020003,'04,CAMPECHE,'005,005. SAN FRANCISCO DE CAMPECHE,'0100,2,C,0,1,3,,,,,1,2,1,11,3,10,23,15,28,48,25,20,47,10,13,,,,586,,,,,,,,,,,
'040100C0300,'040100C030003,'04,CAMPECHE,'005,005. SAN FRANCISCO DE CAMPECHE,'0100,3,C,0,1,3,,,,,1,2,1,7,40,7,44,2,37,11,6,10,25,28,38,,,,586,,,,,,,,,,,
'040101B0100,'040101B010003,'04,CAMPECHE,'005,005. SAN FRANCISCO DE CAMPECHE,'0101,1,B,0,1,3,,,,,1,2,1,15,22,27,30,42,36,49,21,24,46,37,28,,,,628,,,,,,,,,,,
'040101C0100,'040101C010003,'04,CAMPECHE,'005,005. SAN FRANCISCO DE CAMPECHE,'0101,1,C,0,1,3,,,,,1,2,1,7,16,17,11,42,27,27,8,11,47,24,3,,,,627,,,,,,,,,,,
'040101C0200,'040101C020003,'04,CAMPECHE,'005,005. SAN FRANCISCO DE CAMPECHE,'0101,2,C,0,1,3,,,,,1,2,1,25,5,22,7,16,39,24,25,33,26,24,13,,,,627,,,,,,,,,,,
'040101C0300,'040101C030003,'04,CAMPECHE,'005,005. SAN FRANCISCO DE CAMPECHE,'0101,3,C,0,1,3,,,,,1,2,1,30,5,40,39,47,30,5,45,10,32,45,8,,,,627,,,,,,,,,,,
'040102B0100,'040102B010003,'04,CAMPECHE,'005,005. SAN FRANCISCO DE CAMPECHE,'0102,1,B,0,1,3,,,,,1,2,1,36,46,22,28,43,44,21,18,3,1,16,17,,,,581,,,,,,,,,,,
'040102C0100,'040102C010003,'04,CAMPECHE,'005,005. SAN FRANCISCO DE CAMPECHE,'0102,1,C,0,1,3,,,,,1,2,1,29,23,38,17,47,34,26,17,37,40,6,9,,,,580,,,,,,,,,,,
'040102C0200,'040102C020003,'04,CAMPECHE,'005,005. SAN FRANCISCO DE CAMPECHE,'0102,2,C,0,1,3,,,,,1,2,1,11,12,2,30,13,8,45,35,25,2,40,42,,,,580,,,,,,,,,,,
'040103B0100,'040103B010003,'04,CAMPECHE,'005,005. SAN FRANCISCO DE CAMPECHE,'0103,1,B,0,1,3,,,,,1,2,1,1,26,21,44,37,16,26,48,4,5,44,30,,,,603,,,,,,,,,,,
'040103C0100,'040103C010003,'04,CAMPECHE,'005,005. SAN FRANCISCO DE CAMPECHE,'0103,1,C,0,1,3,,,,,1,2,1,16,11,13,15,44,4,16,19,28,24,47,40,,,,603,,,,,,,,,,,
'040104B0100,'040104B010003,'04,CAMPECHE,'004,004. SAN FRANCISCO DE CAMPECHE,'0104,1,B,0,1,3,,,,,1,2,1,17,18,4,40,8,27,16,11,28,8,31,45,,,,399,,,,,,,,,,,
'040104C0100,'040104C010003,'04,CAMPECHE,'004,004. SAN FRANCISCO DE CAMPECHE,'0104,1,C,0,1,3,,,,,1,2,1,7,7,25,47,4,30,10,3,45,42,34,30,,,,398,,,,,,,,,,,
'040105B0100,'040105B010003,'04,CAMPECHE,'004,004. SAN FRANCISCO DE CAMPECHE,'0105,1,B,0,1,3,,,,,1,2,1,28,49,48,36,48,15,45,49,6,36,24,48,,,,714,,,,,,,,,,,
'040105C0100,'040105C010003,'04,CAMPECHE,'004,004. SAN FRANCISCO DE CAMPECHE,'0105,1,C,0,1,3,,,,,1,2,1,10,35,34,16,32,37,30,25,7,34,3,25,,,,714,,,,,,,,,,,
'040105C0200,'040105C020003,'04,CAMPECHE,'004,004. SAN FRANCISCO DE CAMPECHE,'0105,2,C,0,1,3,,,,,1,2,1,2,13,39,37,45,8,29,6,27,35,30,33,,,,714,,,,,,,,,,,
'040105C0300,'040105C030003,'04,CAMPECHE,'004,004. SAN FRANCISCO DE CAMPECHE,'0105,3,C,0,1,3,,,,,1,2,1,26,14,13,43,38,13,17,30,3,6,36,1,,,,714,,,,,,,,,,,
'040105C0400,'040105C040003,'04,CAMPECHE,'004,004. SAN FRANCISCO DE CAMPECHE,'0105,4,C,0,1,3,,,,,1,2,1,32,37,41,2,19,47,35,21,8,18,5,47,,,,714,,,,,,,,,,,
'040105C0500,'040105C050003,'04,CAMPECHE,'004,004. SAN FRANCISCO DE CAMPECHE,'0105,5,C,0,1,3,,,,,1,2,1,8,33,35,27,20,48,21,31,2,21,44,27,,,,714,,,,,,,,,,,
'040105C0600,'040105C060003,'04,CAMPECHE,'004,004. SAN FRANCISCO DE CAMPECHE,'0105,6,C,0,1,3,,,,,1,2,1,37,32,2,16,19,24,4,17,48,16,31,27,,,,714,,,,,,,,,,,
'040105C0700,'040105C070003,'04,CAMPECHE,'004,004. SAN FRANCISCO DE CAMPECHE,'0105,7,C,0,1,3,,,,,1,2,1,36,37,18,27,5,42,19,45,7,20,3,44,,,,714,,,,,,,,,,,
'040105C0800,'040105C080003,'04,CAMPECHE,'004,004. SAN FRANCISCO DE CAMPECHE,'0105,8,C,0,1,3,,,,,1,2,1,37,33,24,29,2,10,35,40,24,20,20,15,,,,714,,,,,,,,,,,
'040105C0900,'040105C090003,'04,CAMPECHE,'004,004. SAN FRANCISCO DE CAMPECHE,'0105,9,C,0,1,3,,,,,1,2,1,43,40,29,5,1,3,44,39,41,33,25,31,,,,713,,,,,,,,,,,
'040106B0100,'040106B010003,'04,CAMPECHE,'004,004. SAN FRANCISCO DE CAMPECHE,'0106,1,B,0,1,3,,,,,1,2,1,20,43,13,10,33,34,36,31,10,34,29,44,,,,660,,,,,,,,,,,
'040106C0100,'040106C010003,'04,CAMPECHE,'004,004. SAN FRANCISCO DE CAMPECHE,'0106,1,C,0,1,3,,,,,1,2,1,45,18,23,34,48,1,3,7,3,36,1,11,,,,660,,,,,,,,,,,
'040107B0100,'040107B010003,'04,CAMPECHE,'006,006. SAN FRANCISCO DE CAMPECHE,'0107,1,B,0,1,3,,,,,1,2,1,9,22,49,2,15,29,11,37,4,44,9,12,,,,666,,,,,,,,,,,
'040107C0100,'040107C010003,'04,CAMPECHE,'006,006. SAN FRANCISCO DE CAMPECHE,'0107,1,C,0,1,3,,,,,1,2,1,17,24,36,23,28,48,11,16,31,47,43,43,,,,666,,,,,,,,,,,
'040108B0100,'040108B010003,'04,CAMPECHE,'005,005. SAN FRANCISCO DE CAMPECHE,'0108,1,B,0,1,3,,,,,1,2,1,21,16,2,15,19,49,8,6,27,3,26,35,,,,650,,,,,,,,,,,
'040108C0100,'040108C010003,'04,CAMPECHE,'005,005. SAN FRANCISCO DE CAMPECHE,'0108,1,C,0,1,3,,,,,1,2,1,40,17,3,35,43,33,36,22,32,24,20,17,,,,650,,,,,,,,,,,
'040108C0200,'040108C020003,'04,CAMPECHE,'005,005. SAN FRANCISCO DE CAMPECHE,'0108,2,C,0,1,3,,,,,1,2,1,5,16,49,21,28,49,28,16,10,1,11,15,,,,650,,,,,,,,,,,
'040108C0300,'040108C030003,'04,CAMPECHE,'005,005. SAN FRANCISCO DE CAMPECHE,'0108,3,C,0,1,3,,,,,1,2,1,31,34,34,38,39,45,16,14,32,47,31,5,,,,649,,,,,,,,,,,
'040108C0400,'040108C040003,'04,CAMPECHE,'005,005. SAN FRANCISCO DE CAMPECHE,'0108,4,C,0,1,3,,,,,1,2,1,36,9,21,21,30,48,4,34,33,42,11,34,,,,649,,,,,,,,,,,
'040109B0100,'040109B010003,'04,CAMPECHE,'005,005. SAN FRANCISCO DE CAMPECHE,'0109,1,B,0,1,3,,,,,1,2,1,46,6,15,5,27,46,9,43,25,12,36,15,,,,629,,,,,,,,,,,
'040109C0100,'040109C010003,'04,CAMPECHE,'005,005. SAN FRANCISCO DE CAMPECHE,'0109,1,C,0,1,3,,,,,1,2,1,18,30,21,21,49,43,24,24,29,45,49,9,,,,629,,,,,,,,,,,
'040109C0200,'040109C020003,'04,CAMPECHE,'005,005. SAN FRANCISCO DE CAMPECHE,'0109,2,C,0,1,3,,,,,1,2,1,25,31,30,28,36,43,35,42,14,4,19,33,,,,629,,,,,,,,,,,
'040109C0300,'040109C030003,'04,CAMPECHE,'005,005. SAN FRANCISCO DE CAMPECHE,'0109,3,C,0,1,3,,,,,1,2,1,35,38,38,38,38,2,14,36,24,29,14,4,,,,629,,,,,,,,,,,
'040110B0100,'040110B010003,'04,CAMPECHE,'006,006. SAN FRANCISCO DE CAMPECHE,'0110,1,B,0,1,3,,,,,1,2,1,36,36,32,16,17,2,7,37,42,16,2,23,,,,684,,,,,,,,,,,
'040110C0100,'040110C010003,'04,CAMPECHE,'006,006. SAN FRANCISCO DE CAMPECHE,'0110,1,C,0,1,3,,,,,1,2,1,28,22,37,41,28,43,49,43,47,8,49,11,,,,683,,,,,,,,,,,
'040111B0100,'040111B010003,'04,CAMPECHE,'005,005. SAN FRANCISCO DE CAMPECHE,'0111,1,B,0,1,3,,,,,1,2,1,33,32,21,8,3,1,8,1,40,36,2,12,,,,666,,,,,,,,,,,
'040111C0100,'040111C010003,'04,CAMPECHE,'005,005. SAN FRANCISCO DE CAMPECHE,'0111,1,C,0,1,3,,,,,1,2,1,43,23,20,36,12,43,16,6,31,49,34,25,,,,665,,,,,,,,,,,
'040111C0200,'040111C020003,'04,CAMPECHE,'005,005. SAN FRANCISCO DE CAMPECHE,'0111,2,C,0,1,3,,,,,1,2,1,26,14,30,41,8,31,21,9,44,14,10,13,,,,665,,,,,,,,,,,
'040112B0100,'040112B010003,'04,CAMPECHE,'006,006. SAN FRANCISCO DE CAMPECHE,'0112,1,B,0,2,3,,,,,1,2,1,2,7,46,21,5,25,23,19,33,14,46,26,,,,644,,,,,,,,,,,
'040112C0100,'040112C010003,'04,CAMPECHE,'006,006. SAN FRANCISCO DE CAMPECHE,'0112,1,C,0,2,3,,,,,1,2,1,45,37,47,13,11,3,23,3,44,8,34,1,,,,644,,,,,,,,,,,
'040112C0200,'040112C020003,'04,CAMPECHE,'006,006. SAN FRANCISCO DE CAMPECHE,'0112,2,C,0,2,3,,,,,1,2,1,10,33,35,19,11,12,27,13,21,19,19,34,,,,644,,,,,,,,,,,
'040112C0300,'040112C030003,'04,CAMPECHE,'006,006. SAN FRANCISCO DE CAMPECHE,'0112,3,C,0,2,3,,,,,1,2,1,27,46,49,6,26,42,44,3,27,16,4,46,,,,644,,,,,,,,,,,
'040112C0400,'040112C040003,'04,CAMPECHE,'006,006. SAN FRANCISCO DE CAMPECHE,'0112,4,C,0,2,3,,,,,1,2,1,26,45,41,3,45,14,15,37,33,49,35,6,,,,643,,,,,,,,,,,
'040112C0500,'040112C050003,'04,CAMPECHE,'006,006. SAN FRANCISCO DE CAMPECHE,'0112,5,C,0,2,3,,,,,1,2,1,17,34,49,37,14,34,6,5,37,34,1,11,,,,643,,,,,,,,,,,
'040112C0600,'040112C060003,'04,CAMPECHE,'006,006. SAN FRANCISCO DE CAMPECHE,'0112,6,C,0,2,3,,,,,1,2,1,25,19,14,8,35,43,40,48,38,38,2,33,,,,643,,,,,,,,,,,
'040112S0100,'040112S010003,'04,CAMPECHE,'006,006. SAN FRANCISCO DE CAMPECHE,'0112,1,S,0,2,3,,,,,1,2,1,30,8,15,15,30,19,28,14,19,13,44,33,,,,0,,,,,,,,,,,
'040113B0100,'040113B010003,'04,CAMPECHE,'006,006. SAN FRANCISCO DE CAMPECHE,'0113,1,B,0,1,3,,,,,1,2,1,6,26,6,43,4,46,22,28,25,37,40,42,,,,422,,,,,,,,,,,
'040113C0100,'040113C010003,'04,CAMPECHE,'006,006. SAN FRANCISCO DE CAMPECHE,'0113,1,C,0,1,3,,,,,1,2,1,13,43,6,43,16,31,22,30,18,13,40,38,,,,422,,,,,,,,,,,
'040114B0100,'040114B010003,'04,CAMPECHE,'006,006. SAN FRANCISCO DE CAMPECHE,'0114,1,B,0,1,3,,,,,1,2,1,32,37,7,33,15,7,5,36,6,13,23,29,,,,620,,,,,,,,,,,
'040114C0100,'040114C010003,'04,CAMPECHE,'006,006. SAN FRANCISCO DE CAMPECHE,'0114,1,C,0,1,3,,,,,1,2,1,23,5,28,11,45,40,26,8,41,35,38,23,,,,619,,,,,,,,,,,
'040115B0100,'040115B010003,'04,CAMPECHE,'006,006. SAN FRANCISCO DE CAMPECHE,'0115,1,B,0,1,3,,,,,1,2,1,29,8,44,28,43,36,14,26,4,14,28,48,,,,457,,,,,,,,,,,
'040115C0100,'040115C010003,'04,CAMPECHE,'006,006. SAN FRANCISCO DE CAMPECHE,'0115,1,C,0,1,3,,,,,1,2,1,27,45,1,45,44,34,31,18,7,37,22,35,,,,457,,,,,,,,,,,
'040116B0100,'040116B010003,'04,CAMPECHE,'006,006. SAN FRANCISCO DE CAMPECHE,'0116,1,B,0,2,3,,,,,1,2,1,7,35,6,6,42,4,8,42,37,30,25,38,,,,569,,,,,,,,,,,
'040116C0100,'040116C010003,'04,CAMPECHE,'006,006. SAN FRANCISCO DE CAMPECHE,'0116,1,C,0,2,3,,,,,1,2,1,13,40,40,34,25,48,11,46,13,32,40,26,,,,569,,,,,,,,,,,
'040117B0100,'040117B010003,'04,CAMPECHE,'006,006. SAN FRANCISCO DE CAMPECHE,'0117,1,B,0,1,3,,,,,1,2,1,12,42,31,12,48,15,22,47,32,25,42,23,,,,559,,,,,,,,,,,
'040117C0100,'040117C010003,'04,CAMPECHE,'006,006. SAN FRANCISCO DE CAMPECHE,'0117,1,C,0,1,3,,,,,1,2,1,36,5,31,3,3,28,20,27,49,30,24,25,,,,559,,,,,,,,,,,
'040117C0200,'040117C020003,'04,CAMPECHE,'006,006. SAN FRANCISCO DE CAMPECHE,'0117,2,C,0,1,3,,,,,1,2,1,21,33,30,36,16,45,15,44,42,5,19,15,,,,558,,,,,,,,,,,
'040118B0100,'040118B010003,'04,CAMPECHE,'007,007. TENABO,'0118,1,B,0,2,3,,,,,1,2,1,28,21,15,6,24,19,13,25,21,13,32,38,,,,486,,,,,,,,,,,
'040118C0100,'040118C010003,'04,CAMPECHE,'007,007. TENABO,'0118,1,C,0,2,3,,,,,1,2,1,32,15,19,5,2,46,46,4,29,40,41,48,,,,485,,,,,,,,,,,
'040119B0100,'040119B010003,'04,CAMPECHE,'007,007. TENABO,'0119,1,B,0,2,3,,,,,1,2,1,35,34,49,3,44,43,12,37,10,14,23,6,,,,413,,,,,,,,,,,
'040120B0100,'040120B010003,'04,CAMPECHE,'007,007. TENABO,'0120,1,B,0,2,3,,,,,1,2,1,18,48,43,30,39,20,40,7,40,26,13,17,,,,429,,,,,,,,,,,
'040120C0100,'040120C010003,'04,CAMPECHE,'007,007. TENABO,'0120,1,C,0,2,3,,,,,1,2,1,37,9,27,42,38,44,13,46,5,21,12,7,,,,429,,,,,,,,,,,
'040121B0100,'040121B010003,'04,CAMPECHE,'007,007. TENABO,'0121,1,B,0,2,3,,,,,1,2,1,14,8,11,12,33,23,38,11,2,34,22,14,,,,465,,,,,,,,,,,
'040121C0100,'040121C010003,'04,CAMPECHE,'007,007. TENABO,'0121,1,C,0,2,3,,,,,1,2,1,19,43,40,26,19,42,12,33,4,5,18,47,,,,465,,,,,,,,,,,
'040122B0100,'040122B010003,'04,CAMPECHE,'007,007. TENABO,'0122,1,B,0,2,3,,,,,1,2,1,6,28,45,17,26,19,28,27,40,26,45,28,,,,597,,,,,,,,,,,
'040122C0100,'040122C010003,'04,CAMPECHE,'007,007. TENABO,'0122,1,C,0,2,3,,,,,1,2,1,4,32,4,22,11,26,29,9,23,27,30,39,,,,596,,,,,,,,,,,
'040122S0100,'040122S010003,'04,CAMPECHE,'007,007. TENABO,'0122,1,S,0,2,3,,,,,1,2,1,20,8,39,30,14,12,12,18,36,12,33,36,,,,0,,,,,,,,,,,
'040123B0100,'040123B010003,'04,CAMPECHE,'007,007. TENABO,'0123,1,B,0,2,3,,,,,1,2,1,37,1,45,19,37,16,29,43,28,20,21,28,,,,395,,,,,,,,,,,
'040123C0100,'040123C010003,'04,CAMPECHE,'007,007. TENABO,'0123,1,C,0,2,3,,,,,1,2,1,24,36,45,43,32,37,19,20,39,2,16,47,,,,395,,,,,,,,,,,
'040124B0100,'040124B010003,'04,CAMPECHE,'002,002. SAN FRANCISCO DE CAMPECHE,'0124,1,B,0,2,3,,,,,1,2,1,49,2,8,37,40,5,7,37,24,43,4,14,,,,733,,,,,,,,,,,
'040124C0100,'040124C010003,'04,CAMPECHE,'002,002. SAN FRANCISCO DE CAMPECHE,'0124,1,C,0,2,3,,,,,1,2,1,16,48,5,33,41,18,39,41,18,49,6,7,,,,732,,,,,,,,,,,
'040124C0200,'040124C020003,'04,CAMPECHE,'002,002. SAN FRANCISCO DE CAMPECHE,'0124,2,C,0,2,3,,,,,1,2,1,19,10,38,8,42,9,23,23,21,15,47,31,,,,732,,,,,,,,,,,
'040124C0300,'040124C030003,'04,CAMPECHE,'002,002. SAN FRANCISCO DE CAMPECHE,'0124,3,C,0,2,3,,,,,1,2,1,48,12,21,32,48,11,23,1,44,41,45,23,,,,732,,,,,,,,,,,
'040124C0400,'040124C040003,'04,CAMPECHE,'002,002. SAN FRANCISCO DE CAMPECHE,'0124,4,C,0,2,3,,,,,1,2,1,36,8,43,32,8,39,15,28,36,25,37,49,,,,732,,,,,,,,,,,
'040124E0100,'040124E010003,'04,CAMPECHE,'002,002. SAN FRANCISCO DE CAMPECHE,'0124,1,E,0,2,3,,,,,1,2,1,15,11,30,4,46,45,7,12,26,13,13,49,,,,525,,,,,,,,,,,
'040124E0101,'040124E010103,'04,CAMPECHE,'002,002. SAN FRANCISCO DE CAMPECHE,'0124,1,E,1,2,3,,,,,1,2,1,7,4,12,46,6,43,40,1,1,5,48,42,,,,525,,,,,,,,,,,
'040125B0100,'040125B010003,'04,CAMPECHE,'003,003. SAN FRANCISCO DE CAMPECHE,'0125,1,B,0,2,3,,,,,1,2,1,27,45,39,36,23,48,7,13,42,3,32,47,,,,549,,,,,,,,,,,
'040125C0100,'040125C010003,'04,CAMPECHE,'003,003. SAN FRANCISCO DE CAMPECHE,'0125,1,C,0,2,3,,,,,1,2,1,9,30,42,43,34,30,43,27,31,23,7,5,,,,548,,,,,,,,,,,
'040125C0200,'040125C020003,'04,CAMPECHE,'003,003. SAN FRANCISCO DE CAMPECHE,'0125,2,C,0,2,3,,,,,1,2,1,5,43,14,34,20,33,1,20,9,4,6,8,,,,548,,,,,,,,,,,
'040126B0100,'040126B010003,'04,CAMPECHE,'003,003. SAN FRANCISCO DE CAMPECHE,'0126,1,B,0,1,3,,,,,1,2,1,8,19,44,25,11,43,36,15,27,32,43,9,,,,699,,,,,,,,,,,
'040126C0100,'040126C010003,'04,CAMPECHE,'003,003. SAN FRANCISCO DE CAMPECHE,'0126,1,C,0,1,3,,,,,1,2,1,38,3,40,17,2,13,23,44,33,47,13,9,,,,698,,,,,,,,,,,
'040126C0200,'040126C020003,'04,CAMPECHE,'003,003. SAN FRANCISCO DE CAMPECHE,'0126,2,C,0,1,3,,,,,1,2,1,44,18,18,46,38,40,46,23,3,17,12,23,,,,698,,,,,,,,,,,
'040127B0100,'040127B010003,'04,CAMPECHE,'006,006. SAN FRANCISCO DE CAMPECHE,'0127,1,B,0,2,3,,,,,1,2,1,36,11,43,31,33,15,24,19,5,42,18,7,,,,589,,,,,,,,,,,
'040127C0100,'040127C010003,'04,CAMPECHE,'006,006. SAN FRANCISCO DE CAMPECHE,'0127,1,C,0,2,3,,,,,1,2,1,30,27,32,24,13,21,19,36,21,29,36,17,,,,588,,,,,,,,,,,
'040128B0100,'040128B010003,'04,CAMPECHE,'002,002. SAN FRANCISCO DE CAMPECHE,'0128,1,B,0,2,3,,,,,1,2,1,46,20,24,19,20,5,37,25,5,37,28,34,,,,233,,,,,,,,,,,
'040129B0100,'040129B010003,'04,CAMPECHE,'006,006. SAN FRANCISCO DE CAMPECHE,'0129,1,B,0,2,3,,,,,1,2,1,5,1,17,25,21,44,17,31,35,15,42,26,,,,525,,,,,,,,,,,
'040129C0100,'040129C010003,'04,CAMPECHE,'006,006. SAN FRANCISCO DE CAMPECHE,'0129,1,C,0,2,3,,,,,1,2,1,35,38,21,45,42,28,14,30,26,21,46,38,,,,524,,,,,,,,,,,
'040129C0200,'040129C020003,'04,CAMPECHE,'006,006. SAN FRANCISCO DE CAMPECHE,'0129,2,C,0,2,3,,,,,1,2,1,43,33,47,21,2,45,20,40,13,33,17,18,,,,524,,,,,,,,,,,
'040130B0100,'040130B010003,'04,CAMPECHE,'006,006. SAN FRANCISCO DE CAMPECHE,'0130,1,B,0,2,3,,,,,1,2,1,8,14,41,31,45,28,17,14,24,25,29,11,,,,492,,,,,,,,,,,
'040131B0100,'040131B010003,'04,CAMPECHE,'006,006. SAN FRANCISCO DE CAMPECHE,'0131,1,B,0,2,3,,,,,1,2,1,20,45,21,27,13,34,25,13,8,30,23,15,,,,277,,,,,,,,,,,
'040132B0100,'040132B010003,'04,CAMPECHE,'006,006. SAN FRANCISCO DE CAMPECHE,'0132,1,B,0,2,3,,,,,1,2,1,2,19,14,32,31,7,48,25,15,37,32,32,,,,205,,,,,,,,,,,
'040133B0100,'040133B010003,'04,CAMPECHE,'006,006. SAN FRANCISCO DE CAMPECHE,'0133,1,B,0,2,3,,,,,1,2,1,15,34,37,28,5,18,6,18,15,5,18,45,,,,538,,,,,,,,,,,
'040134B0100,'040134B010003,'04,CAMPECHE,'006,006. SAN FRANCISCO DE CAMPECHE,'0134,1,B,0,2,3,,,,,1,2,1,21,45,3,11,45,18,11,40,16,43,8,34,,,,324,,,,,,,,,,,
'040134E0100,'040134E010003,'04,CAMPECHE,'006,006. SAN FRANCISCO DE CAMPECHE,'0134,1,E,0,2,3,,,,,1,2,1,22,20,45,1,49,23,37,8,28,44,16,1,,,,151,,,,,,,,,,,
'040135B0100,'040135B010003,'04,CAMPECHE,'006,006. SAN FRANCISCO DE CAMPECHE,'0135,1,B,0,2,3,,,,,1,2,1,23,13,27,39,34,18,15,12,28,46,36,19,,,,448,,,,,,,,,,,
'040135C0100,'040135C010003,'04,CAMPECHE,'006,006. SAN FRANCISCO DE CAMPECHE,'0135,1,C,0,2,3,,,,,1,2,1,16,38,44,38,43,16,15,25,44,3,11,8,,,,447,,,,,,,,,,,
'040136B0100,'040136B010003,'04,CAMPECHE,'006,006. SAN FRANCISCO DE CAMPECHE,'0136,1,B,0,2,3,,,,,1,2,1,5,5,41,10,27,14,12,5,24,43,49,38,,,,207,,,,,,,,,,,
